ordre id_c id_t nb_occurrence taux_recouvrement recouvrement taux_occupation certificat
5 64 36 1 1.0 '0000100000000000000010010000010000100 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000c001000000000000000e0000000000003d000000000000800270
5 65 37 1 1.0 '0000100000000000000010000100010000100 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000c0010000000000003c00000000000000021c00000000000003e0
5 72 38 1 1.0 '0000010000000000001000000001100001000 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000410000000000000000e00000000000003a000000000000008203000000000000011c
5 74 39 1 1.0 '0000010000000000000011000101000000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800010000000000000c0010000000000003800000000000040000e00000000000003e0
5 79 40 1 1.0 '0000000100101100000000000000010000000 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020600000000000082010000000000004600000000000000003800000000000038c0
5 81 41 1 1.0 '0000000100001000000001000100010000000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000700000000000000002180000000000000c04000000000080800300000000000008e0
5 82 42 1 1.0 '0000000110001100000000000000000000010 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402000000000000081000000000000040e0000000000000a401000000000000480c
5 83 43 1 1.0 '0000000100000000000011000100010000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800002000000000000c0010000000000803800000000000000021c00000000000003e0
5 84 44 1 1.0 '0000000100000000000001000101010000000 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020200000000000000e0000000000000021c000000000000c1010000000000803800
5 85 45 1 1.0 '0000000100000000000001000100010000100 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010200000000000000e0000000000000021c000000000000c1010000000000803800
5 86 46 1 1.0 '0000000010001100000000001000000000010 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000610000000000000000380000000000000904000000000000840300000000000014c0
5 87 47 1 1.0 '0000000010000100000000011000000000010 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0000000000000820100000000000005100000000000007800000000000000020e
5 88 48 1 1.0 '0000000010000100000000001010000000010 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000700000000000000002180000000000000c04000000000080800300000000000002e0
5 89 49 1 1.0 '0000000010000100000000001000000010010 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013000000000000000007000000000000e00000000000000008180000000000000ce0
